sort23::issue	sort23::issue_opened_at	sort23::issue_closed_at	sort23::seconds_open	sort23::repo_name	sort23::repo_id	sort23::repo_url
9610898	2013-01-01T23:48:34.000-08:00	2013-12-31T09:18:57.000-08:00	31397423	plato	7403331	https://github.com/jsoverson/plato
9610904	2013-01-01T23:48:49.000-08:00	2013-12-31T09:18:39.000-08:00	31397390	plato	7403331	https://github.com/jsoverson/plato
9609050	2013-01-01T19:35:15.000-08:00	2013-12-28T16:46:54.000-08:00	31180299	SMF2.1	3257475	https://github.com/SimpleMachines/SMF2.1
9648333	2013-01-03T08:38:39.000-08:00	2013-12-30T05:12:07.000-08:00	31178008	ruby-prof	372397	https://github.com/rdp/ruby-prof
9676912	2013-01-04T04:21:15.000-08:00	2013-12-30T07:23:17.000-08:00	31114922	node-webkit	3100121	https://github.com/rogerwang/node-webkit
9692205	2013-01-04T11:34:50.000-08:00	2013-12-30T12:13:01.000-08:00	31106291	msysgit	325827	https://github.com/msysgit/msysgit
9709761	2013-01-05T13:07:54.000-08:00	2013-12-31T10:02:15.000-08:00	31092861	alfanous	4617289	https://github.com/Alfanous-team/alfanous
9695743	2013-01-04T13:44:36.000-08:00	2013-12-29T13:46:20.000-08:00	31017704	builder.js	5362812	https://github.com/component/builder.js
9725741	2013-01-06T21:51:02.000-08:00	2013-12-31T16:00:08.000-08:00	30996546	roswiki	7431261	https://github.com/ros-infrastructure/roswiki
9700481	2013-01-04T17:43:11.000-08:00	2013-12-29T00:58:44.000-08:00	30957333	wtr	6820585	https://github.com/jnuc093/wtr
9700488	2013-01-04T17:43:39.000-08:00	2013-12-29T00:58:44.000-08:00	30957305	wtr	6820585	https://github.com/jnuc093/wtr
9700492	2013-01-04T17:43:58.000-08:00	2013-12-29T00:58:44.000-08:00	30957286	wtr	6820585	https://github.com/jnuc093/wtr
9738733	2013-01-07T08:19:31.000-08:00	2013-12-31T06:17:29.000-08:00	30923878	pickles	387605	https://github.com/joshtronic/pickles
9745847	2013-01-07T11:49:04.000-08:00	2013-12-31T09:13:34.000-08:00	30921870	MathJax	847885	https://github.com/mathjax/MathJax
9669641	2013-01-04T01:21:13.000-08:00	2013-12-27T14:31:24.000-08:00	30892211	pydsl	3179823	https://github.com/nesaro/pydsl
9604478	2013-01-01T12:26:29.000-08:00	2013-12-24T23:40:21.000-08:00	30885232	kge	4322408	https://github.com/kochol/kge
9605373	2013-01-01T14:15:49.000-08:00	2013-12-24T23:40:22.000-08:00	30878673	kge	4322408	https://github.com/kochol/kge
9605528	2013-01-01T14:20:25.000-08:00	2013-12-24T23:40:22.000-08:00	30878397	kge	4322408	https://github.com/kochol/kge
9675174	2013-01-04T03:21:35.000-08:00	2013-12-27T11:26:55.000-08:00	30873920	magento2	2884111	https://github.com/magento/magento2
9696234	2013-01-04T14:01:55.000-08:00	2013-12-27T03:41:14.000-08:00	30807559	travis-ci	1420493	https://github.com/travis-ci/travis-ci
9723287	2013-01-06T17:54:00.000-08:00	2013-12-29T00:58:44.000-08:00	30783884	wtr	6820585	https://github.com/jnuc093/wtr
9705804	2013-01-05T05:47:52.000-08:00	2013-12-27T07:02:11.000-08:00	30762859	dataexplorer	5050476	https://github.com/okfn/dataexplorer
9828609	2013-01-09T17:44:56.000-08:00	2013-12-31T09:47:52.000-08:00	30729776	library	1354219	https://github.com/beangle/library
9725141	2013-01-06T20:52:32.000-08:00	2013-12-28T09:20:50.000-08:00	30716898	google-go-lang-idea-plugin	869754	https://github.com/mtoader/google-go-lang-idea-plugin
9622852	2013-01-02T10:15:48.000-08:00	2013-12-23T11:38:13.000-08:00	30676945	Tizra-Customer-Tracker	3330382	https://github.com/Tizra/Tizra-Customer-Tracker
9734686	2013-01-07T06:09:48.000-08:00	2013-12-28T06:21:59.000-08:00	30672731	photograph	4250531	https://github.com/jhchabran/photograph
9862256	2013-01-10T14:16:43.000-08:00	2013-12-31T12:19:28.000-08:00	30664965	fakefs	213248	https://github.com/defunkt/fakefs
9633745	2013-01-02T17:44:13.000-08:00	2013-12-23T11:14:38.000-08:00	30648625	MiniProfiler	2194936	https://github.com/SamSaffron/MiniProfiler
9792969	2013-01-08T20:04:35.000-08:00	2013-12-29T12:17:25.000-08:00	30643970	wicked_pdf	229006	https://github.com/mileszs/wicked_pdf
9733805	2013-01-07T05:31:54.000-08:00	2013-12-27T15:37:32.000-08:00	30621938	chocolat-public	1725881	https://github.com/fileability/chocolat-public
9720530	2013-01-06T13:28:00.000-08:00	2013-12-26T20:55:03.000-08:00	30612423	kofradia	4775055	https://github.com/hswno/kofradia
9849620	2013-01-10T08:33:23.000-08:00	2013-12-30T15:58:59.000-08:00	30612336	appscale	3803067	https://github.com/AppScale/appscale
9615415	2013-01-02T05:13:46.000-08:00	2013-12-22T10:00:14.000-08:00	30602788	YiiBoilerplate	5290963	https://github.com/clevertech/YiiBoilerplate
9615505	2013-01-02T05:18:54.000-08:00	2013-12-22T09:58:35.000-08:00	30602381	YiiBoilerplate	5290963	https://github.com/clevertech/YiiBoilerplate
9717440	2013-01-06T07:59:57.000-08:00	2013-12-26T11:06:29.000-08:00	30596792	symfony-docs	521583	https://github.com/symfony/symfony-docs
9643652	2013-01-03T05:50:51.000-08:00	2013-12-23T05:33:47.000-08:00	30584576	inuit.css	1664714	https://github.com/csswizardry/inuit.css
9807739	2013-01-09T07:14:01.000-08:00	2013-12-29T06:14:24.000-08:00	30582023	fpinscala-exercises	3526586	https://github.com/pchiusano/fpinscala-exercises
9866958	2013-01-10T17:28:47.000-08:00	2013-12-30T10:19:22.000-08:00	30559835	rubinius	27	https://github.com/rubinius/rubinius
9726837	2013-01-06T23:28:35.000-08:00	2013-12-26T12:26:17.000-08:00	30545862	stylus-brunch	3494345	https://github.com/brunch/stylus-brunch
9680710	2013-01-04T06:18:24.000-08:00	2013-12-23T12:35:19.000-08:00	30521815	GenericUSBMIDI	7380144	https://github.com/ysalathe/GenericUSBMIDI
9806183	2013-01-09T06:29:01.000-08:00	2013-12-28T05:19:28.000-08:00	30495027	google-go-lang-idea-plugin	869754	https://github.com/mtoader/google-go-lang-idea-plugin
9907188	2013-01-11T22:30:42.000-08:00	2013-12-30T20:17:23.000-08:00	30491201	grbl	114102	https://github.com/grbl/grbl
9769384	2013-01-08T06:20:33.000-08:00	2013-12-27T03:41:48.000-08:00	30489675	travis-ci	1420493	https://github.com/travis-ci/travis-ci
9855435	2013-01-10T11:06:44.000-08:00	2013-12-29T06:20:54.000-08:00	30482050	MagicalRecord	801795	https://github.com/magicalpanda/MagicalRecord
9709811	2013-01-05T13:13:35.000-08:00	2013-12-24T08:16:22.000-08:00	30481367	Tapedeck	2237074	https://github.com/jhurwich/Tapedeck
9634045	2013-01-02T17:57:08.000-08:00	2013-12-21T12:26:13.000-08:00	30479345	concerto-hardware	4065395	https://github.com/concerto/concerto-hardware
9634045	2013-01-02T17:57:08.000-08:00	2013-12-21T12:26:13.000-08:00	30479345	concerto-hardware	4065395	https://github.com/concerto/concerto-hardware
9883106	2013-01-11T07:21:49.000-08:00	2013-12-30T01:33:37.000-08:00	30478308	core	3041962	https://github.com/isotope/core
9857273	2013-01-10T11:57:17.000-08:00	2013-12-29T03:47:42.000-08:00	30469825	MagicalRecord	801795	https://github.com/magicalpanda/MagicalRecord
9877094	2013-01-11T03:28:38.000-08:00	2013-12-29T15:26:42.000-08:00	30455884	flux	6153942	https://github.com/NamelessCoder/flux
9716817	2013-01-06T06:50:15.000-08:00	2013-12-24T13:43:20.000-08:00	30437585	another_android_cangjie	6851237	https://github.com/hilarycheng/another_android_cangjie
9632224	2013-01-02T16:20:21.000-08:00	2013-12-20T21:21:29.000-08:00	30430868	sorty	7414858	https://github.com/stefslon/sorty
9850164	2013-01-10T08:47:16.000-08:00	2013-12-28T13:26:14.000-08:00	30429538	Sereal	5597025	https://github.com/Sereal/Sereal
9850352	2013-01-10T08:52:09.000-08:00	2013-12-28T13:25:33.000-08:00	30429204	Sereal	5597025	https://github.com/Sereal/Sereal
9803100	2013-01-09T04:37:36.000-08:00	2013-12-27T08:28:28.000-08:00	30426652	OpenSesame	1316444	https://github.com/smathot/OpenSesame
