aggregate_count_action::repo_id	aggregate_count_action::repo_name	aggregate_count_action::repo_url	aggregate_count_action::opened_count	aggregate_count_action::closed_count	aggregate_count_action::reopened_count	aggregate_count_action::total_actions_count
27	rubinius	https://github.com/rubinius/rubinius	1	0	0	1
1227	will_paginate	https://github.com/mislav/will_paginate	0	0	1	1
2667	nu	https://github.com/timburks/nu	1	1	0	2
3314	spree	https://github.com/spree/spree	2	0	0	2
5497	sprockets	https://github.com/sstephenson/sprockets	0	1	0	1
5954	sequel	https://github.com/jeremyevans/sequel	1	0	0	1
8514	rails	https://github.com/rails/rails	1	0	0	1
9525	thinking-sphinx	https://github.com/pat/thinking-sphinx	1	0	0	1
11573	mootools-core	https://github.com/mootools/mootools-core	0	1	0	1
18639	active_scaffold	https://github.com/activescaffold/active_scaffold	1	0	0	1
21950	rubber	https://github.com/rubber/rubber	0	6	0	6
23892	pianobar	https://github.com/PromyLOPh/pianobar	1	0	0	1
24480	tweet	https://github.com/seaofclouds/tweet	2	0	0	2
34465	vim-ruby	https://github.com/vim-ruby/vim-ruby	0	1	0	1
36971	etorrent	https://github.com/jlouis/etorrent	1	1	0	2
45547	sizzle	https://github.com/jquery/sizzle	0	1	0	1
49107	cappuccino	https://github.com/cappuccino/cappuccino	1	6	0	7
51480	vim-surround	https://github.com/tpope/vim-surround	0	1	0	1
52462	hitimes	https://github.com/copiousfreetime/hitimes	1	0	0	1
59509	mocha	https://github.com/freerange/mocha	0	1	0	1
65252	jekyll	https://github.com/mojombo/jekyll	1	0	0	1
69609	openlibrary	https://github.com/internetarchive/openlibrary	1	0	0	1
91670	wav2c	https://github.com/olleolleolle/wav2c	1	1	0	2
95467	leaklog	https://github.com/szchkt/leaklog	0	1	0	1
95712	big-brother-bot	https://github.com/BigBrotherBot/big-brother-bot	1	0	0	1
96794	basejumper	https://github.com/gdagley/basejumper	1	0	0	1
108607	vimshell	https://github.com/Shougo/vimshell	0	1	0	1
117741	django-filter	https://github.com/alex/django-filter	1	0	0	1
129791	whenever	https://github.com/javan/whenever	1	2	0	3
131349	prey-bash-client	https://github.com/prey/prey-bash-client	1	0	0	1
132108	typhoeus	https://github.com/typhoeus/typhoeus	0	3	0	3
143376	jstalk	https://github.com/ccgus/jstalk	1	0	0	1
150321	integrity	https://github.com/integrity/integrity	0	1	0	1
150609	myseat	https://github.com/mySeat/myseat	2	0	0	2
156018	redis	https://github.com/antirez/redis	1	1	0	2
156225	nickel	https://github.com/lzell/nickel	1	0	0	1
159643	selfcontrol	https://github.com/slambert/selfcontrol	1	0	0	1
161859	ioctocat	https://github.com/dennisreimann/ioctocat	0	1	0	1
162199	webkit2png	https://github.com/paulhammond/webkit2png	1	0	0	1
165183	lorsource	https://github.com/maxcom/lorsource	1	0	0	1
170033	eruta	https://github.com/beoran/eruta	1	0	0	1
176084	ruby-units	https://github.com/olbrich/ruby-units	0	2	0	2
183268	smartcd	https://github.com/cxreg/smartcd	1	0	0	1
183362	jansson	https://github.com/akheron/jansson	0	1	0	1
184460	celery	https://github.com/celery/celery	1	0	0	1
188137	lexicon	https://github.com/kohath/lexicon	1	0	0	1
192904	pymc	https://github.com/pymc-devs/pymc	0	8	0	8
197025	kisscms	https://github.com/makesites/kisscms	1	1	0	2
198799	Ushahidi_Android	https://github.com/ushahidi/Ushahidi_Android	1	0	0	1
204910	summon-arm-toolchain	https://github.com/esden/summon-arm-toolchain	1	0	0	1
206084	homebrew	https://github.com/mxcl/homebrew	7	9	0	16
209281	ib-ruby	https://github.com/ib-ruby/ib-ruby	2	1	1	4
211588	paper_trail	https://github.com/airblade/paper_trail	1	0	0	1
211666	node	https://github.com/joyent/node	7	5	1	13
212862	refinerycms	https://github.com/refinery/refinerycms	1	0	0	1
213238	redbean	https://github.com/gabordemooij/redbean	1	1	0	2
214845	html2haml	https://github.com/twilson63/html2haml	0	1	0	1
220163	faye	https://github.com/faye/faye	0	3	0	3
220203	unsavory	https://github.com/citizen428/unsavory	1	0	0	1
220418	ThinkUp	https://github.com/ginatrapani/ThinkUp	2	0	0	2
221032	rock	https://github.com/nddrylliog/rock	1	0	0	1
