select8::user	select8::url	select8::opened_count	select8::closed_count	select8::reopened_count	select8::total_actions_count
p	https://github.com/p	0	1	0	1
n9	https://github.com/n9	1	0	0	1
o5	https://github.com/o5	0	2	0	2
su	https://github.com/su	2	0	0	2
008	https://github.com/008	4	1	0	5
0ip	https://github.com/0ip	0	0	1	1
BR-	https://github.com/BR-	0	1	0	1
D4L	https://github.com/D4L	2	0	0	2
F21	https://github.com/F21	1	0	0	1
I4C	https://github.com/I4C	2	0	0	2
L2G	https://github.com/L2G	1	0	0	1
RaD	https://github.com/RaD	0	1	0	1
ali	https://github.com/ali	4	0	0	4
amj	https://github.com/amj	1	0	0	1
asr	https://github.com/asr	1	0	0	1
bkw	https://github.com/bkw	1	0	0	1
czb	https://github.com/czb	1	0	0	1
db0	https://github.com/db0	0	2	0	2
dbu	https://github.com/dbu	0	1	0	1
dfm	https://github.com/dfm	0	2	0	2
djc	https://github.com/djc	1	0	0	1
dpc	https://github.com/dpc	1	0	0	1
dpi	https://github.com/dpi	2	0	0	2
dwo	https://github.com/dwo	1	0	0	1
esc	https://github.com/esc	1	1	0	2
gco	https://github.com/gco	1	0	0	1
ged	https://github.com/ged	1	0	0	1
gga	https://github.com/gga	0	2	0	2
h2s	https://github.com/h2s	1	1	0	2
hrj	https://github.com/hrj	1	0	0	1
i59	https://github.com/i59	0	1	0	1
ijp	https://github.com/ijp	1	0	0	1
j20	https://github.com/j20	0	1	0	1
juj	https://github.com/juj	1	0	0	1
lra	https://github.com/lra	1	0	0	1
lsm	https://github.com/lsm	1	0	0	1
m90	https://github.com/m90	1	0	0	1
mbi	https://github.com/mbi	1	0	0	1
mdo	https://github.com/mdo	0	2	0	2
meh	https://github.com/meh	1	0	0	1
mkq	https://github.com/mkq	1	0	0	1
mlt	https://github.com/mlt	1	1	0	2
mz2	https://github.com/mz2	1	0	0	1
n-b	https://github.com/n-b	1	5	0	6
ndp	https://github.com/ndp	1	0	0	1
olc	https://github.com/olc	1	0	0	1
pld	https://github.com/pld	0	1	0	1
rec	https://github.com/rec	4	3	0	7
rr-	https://github.com/rr-	0	2	0	2
rse	https://github.com/rse	0	2	0	2
scd	https://github.com/scd	0	1	0	1
tcr	https://github.com/tcr	1	1	0	2
tkf	https://github.com/tkf	1	1	0	2
ucb	https://github.com/ucb	2	0	0	2
y-p	https://github.com/y-p	1	1	1	3
0xAX	https://github.com/0xAX	4	0	0	4
0xfe	https://github.com/0xfe	0	1	0	1
Anks	https://github.com/Anks	1	0	0	1
CosX	https://github.com/CosX	0	1	0	1
Divo	https://github.com/Divo	4	0	0	4
Dx51	https://github.com/Dx51	1	0	0	1
GXTX	https://github.com/GXTX	1	0	0	1
I159	https://github.com/I159	1	0	0	1
Jark	https://github.com/Jark	3	0	0	3
KitL	https://github.com/KitL	3	0	0	3
Laar	https://github.com/Laar	1	0	0	1
Lvmb	https://github.com/Lvmb	1	0	0	1
Mazo	https://github.com/Mazo	1	1	0	2
MoOx	https://github.com/MoOx	1	0	0	1
Nygu	https://github.com/Nygu	1	0	0	1
P33M	https://github.com/P33M	1	0	0	1
Paxa	https://github.com/Paxa	1	0	0	1
Peep	https://github.com/Peep	2	0	0	2
RJVB	https://github.com/RJVB	1	0	0	1
Subv	https://github.com/Subv	0	1	0	1
Tsin	https://github.com/Tsin	1	0	0	1
UzEE	https://github.com/UzEE	1	0	0	1
Zahl	https://github.com/Zahl	1	0	0	1
Znow	https://github.com/Znow	0	2	0	2
a-iv	https://github.com/a-iv	0	2	0	2
acsr	https://github.com/acsr	1	0	0	1
aint	https://github.com/aint	0	17	0	17
alex	https://github.com/alex	1	1	0	2
alip	https://github.com/alip	1	1	0	2
amd7	https://github.com/amd7	1	0	0	1
amit	https://github.com/amit	1	0	0	1
arut	https://github.com/arut	0	1	0	1
asaf	https://github.com/asaf	0	1	0	1
avit	https://github.com/avit	4	1	0	5
avsm	https://github.com/avsm	3	1	0	4
awef	https://github.com/awef	0	2	0	2
awib	https://github.com/awib	2	0	0	2
baio	https://github.com/baio	1	0	0	1
bear	https://github.com/bear	0	1	0	1
berb	https://github.com/berb	1	0	0	1
bigr	https://github.com/bigr	1	0	0	1
bm01	https://github.com/bm01	0	2	0	2
c00w	https://github.com/c00w	1	0	0	1
cebe	https://github.com/cebe	0	1	0	1
cimi	https://github.com/cimi	1	0	0	1
cmrn	https://github.com/cmrn	1	0	0	1
cr0t	https://github.com/cr0t	1	0	0	1
cyta	https://github.com/cyta	1	0	0	1
dfgh	https://github.com/dfgh	2	0	0	2
diml	https://github.com/diml	0	1	0	1
dira	https://github.com/dira	1	0	0	1
dirn	https://github.com/dirn	1	1	0	2
djui	https://github.com/djui	2	1	0	3
dmcg	https://github.com/dmcg	1	1	0	2
